Player,Age,Pos,Team,Salary,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PPG,PPA,PP Points,SHG,SHA,SHP,Hits,BLK,PIM,FOW,FOL,SOG,"""+/-""",VOR,Rank,Unadj VOR,FP Unadj,PlayerId,Fantasy Team,,
Justin Dowling,35,C,NYR,"$775,000",9.77,0.00,0.09,61,61,9.77,0.00,0.09,9.86,4,8,12,0,0,0,0,0,0,56,25,8,166,775674,44,-2,-1183,757,-671,155263,8475413,,,
Tyler Kleven,24,D,OTT,"$1,600,000",14.08,0.12,0.25,70,70,14.08,0.12,0.25,14.45,4,8,12,0,1,1,0,0,0,91,84,22,0,2473944,66,-3,-557,516,-310,494921,8482095,,,
Marc Del Gaizo,26,D,NSH,"$775,000",15.78,0.13,0.85,52,52,15.78,0.13,0.85,16.76,3,9,12,0,0,0,0,0,0,78,64,19,0,6248217,83,1,-636,557,-389,1249781,8481743,,,
Jordan Oesterle,33,D,NSH,"$775,000",16.02,0.23,0.43,48,48,16.02,0.23,0.43,16.69,3,9,12,0,1,1,0,0,0,35,71,10,0,2926351,48,-4,-804,655,-557,585372,8477851,,,
Jacob Bernard-Docker,25,D,DET,"$875,000",13.56,0.09,0.37,66,66,13.56,0.09,0.37,14.02,3,9,12,0,0,0,0,0,0,47,86,20,0,3428862,55,1,-677,584,-430,685885,8480879,,,
Ryan Shea,28,D,PIT,"$900,000",16.25,0.06,1.49,70,70,16.25,0.06,1.49,17.80,3,9,12,0,0,0,0,0,0,43,92,19,0,14696761,47,-5,-690,594,-443,2939457,8478854,,,
Albert Johansson,25,D,DET,"$1,125,000",15.89,0.06,0.41,67,67,15.89,0.06,0.41,16.36,3,9,12,0,0,0,0,0,0,71,88,27,0,3883162,53,-4,-588,531,-341,776745,8481607,,,
Calvin de Haan,34,D,NYR,$1,14.13,0.15,1.09,58,58,14.13,0.15,1.09,15.37,2,10,12,0,1,1,0,0,0,81,70,16,0,8939585,60,4,-668,577,-421,1788040,8475177,,,
P.O. Joseph,26,D,VAN,"$775,000",14.36,0.06,0.79,66,66,14.36,0.06,0.79,15.20,2,10,12,0,0,0,0,0,0,49,52,32,0,7342861,58,-3,-684,588,-437,1468666,8480058,,,
Josh Mahura,27,D,SEA,"$907,500",12.98,0.06,0.58,64,64,12.98,0.06,0.58,13.62,2,10,12,0,0,0,0,0,0,79,56,22,0,5234305,56,0,-689,592,-442,1046968,8479372,,,
Joel Hanley,34,D,CGY,"$1,750,000",16.72,0.10,1.01,60,60,16.72,0.10,1.01,17.83,2,10,12,0,0,0,0,0,0,61,92,30,0,8554704,45,5,-593,533,-346,1711047,8477810,,,
Luke Glendening,36,C,TB,"$775,000",8.79,0.09,1.86,77,77,8.79,0.09,1.86,10.75,6,5,11,0,0,0,1,0,1,104,54,22,375,20239262,50,-6,-922,692,-410,4048053,8476822,,,
Walker Duehr,28,RW,WPG,"$775,000",8.59,0.20,0.16,42,42,8.59,0.20,0.16,8.94,5,6,11,0,0,0,0,0,0,75,17,6,1,920557,36,-2,-1024,735,-691,184193,8482652,,,
Joey Anderson,27,RW,CHI,"$800,000",11.05,0.18,1.33,1,1,11.05,0.18,1.33,12.55,0,0,0,0,0,0,0,0,0,1,1,0,0,187859,1,0,-1402,768,-1069,37573,8479315,,,
Rodrigo Abols,30,C,PHI,"$800,000",8.96,0.00,0.01,41,41,8.96,0.00,0.01,8.97,5,6,11,0,0,0,0,0,0,40,18,6,100,58012,40,-1,-1255,764,-743,11704,8479022,,,
Nicolas Deslauriers,34,LW,PHI,"$1,750,000",7.51,0.09,0.17,70,70,7.51,0.09,0.17,7.78,5,6,11,0,0,0,0,0,0,185,21,46,3,1718969,53,-3,-541,511,-197,343899,8475235,,,
