Player,Age,Pos,Team,Salary,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PPG,PPA,PP Points,SHG,SHA,SHP,Hits,BLK,PIM,FOW,FOL,SOG,"""+/-""",VOR,Rank,Unadj VOR,FP Unadj,PlayerId,Fantasy Team,,
Conor Garland,29,RW,VAN,"$4,950,000",14.56,2.63,0.56,80,80,14.56,2.63,0.56,17.75,21,33,54,5,11,16,0,0,0,50,48,37,4,6312916,176,3,51,137,384,1262906,8478856,,,
Valeri Nichushkin,30,"LW,RW",COL,"$6,125,000",15.25,2.99,1.40,68,68,15.25,2.99,1.40,19.63,28,25,53,10,6,16,1,0,1,85,35,14,2,13423990,173,4,-64,202,269,2685138,8477501,,,
Frank Nazar,22,C,CHI,"$950,000",14.75,2.75,0.97,78,78,14.75,2.75,0.97,18.47,26,27,53,6,10,16,1,1,2,50,56,30,249,10697990,162,-11,-171,257,340,2139972,8483493,,,520
Mason McTavish,23,C,ANA,"$7,000,000",14.51,2.54,0.03,76,76,14.51,2.54,0.03,17.08,26,27,53,9,7,16,0,0,0,72,37,49,466,302283,173,-14,-40,184,472,60882,8482745,,,
Tyler Seguin,34,"C,RW",DAL,"$9,850,000",13.07,2.05,0.71,76,76,13.07,2.05,0.71,15.84,24,29,53,6,5,11,0,1,1,37,28,20,329,7673332,157,10,-228,297,104,1535049,8475794,,,
Juraj Slafkovsky,21,"LW,RW",MTL,"$7,600,000",14.50,3.12,0.02,79,79,14.50,3.12,0.02,17.64,22,31,53,8,8,16,0,0,0,180,64,46,7,180631,143,-6,316,62,648,36449,8483515,,,
Vince Dunn,29,D,SEA,"$7,350,000",19.56,2.51,0.20,78,78,19.56,2.51,0.20,22.27,12,41,53,3,15,18,0,0,0,42,90,45,0,2190061,150,-8,228,84,475,438307,8478407,,,
Charlie McAvoy,28,D,BOS,"$9,500,000",18.78,3.26,1.81,78,78,18.78,3.26,1.81,23.84,11,42,53,3,17,20,0,1,1,126,138,58,0,19898341,135,2,581,19,828,3979990,8479325,,,522
Shayne Gostisbehere,32,D,CAR,"$3,200,000",15.05,3.34,0.24,76,76,15.05,3.34,0.24,18.63,10,43,53,4,25,29,0,0,0,40,73,29,0,2546279,134,4,173,103,420,509554,8476906,,,
Pavel Dorofeyev,25,"LW,RW",VGK,"$1,835,000",14.22,2.04,0.01,78,78,14.22,2.04,0.01,16.28,30,22,52,9,6,15,0,0,0,29,40,24,3,100899,206,6,-39,183,294,20533,8481604,,,
Connor McMichael,25,LW,WSH,"$2,100,000",14.43,1.69,0.83,82,82,14.43,1.69,0.83,16.96,26,26,52,4,6,10,0,1,1,43,40,38,122,9627389,163,0,-85,215,260,1925805,8481580,,,
Tom Wilson,31,RW,WSH,"$6,500,000",14.13,2.57,1.58,78,78,14.13,2.57,1.58,18.28,26,26,52,9,6,15,1,1,2,219,70,92,5,17443242,163,3,726,10,1058,3488983,8476880,,,
Trevor Zegras,24,C,PHI,"$5,750,000",15.03,2.52,0.01,76,76,15.03,2.52,0.01,17.55,19,33,52,3,9,12,0,0,0,61,38,40,111,64211,146,-10,-240,308,272,13145,8481533,,,
Frank Vatrano,31,"C,LW",ANA,"$4,571,189",13.96,2.44,0.99,80,80,13.96,2.44,0.99,17.39,25,26,51,6,7,13,1,0,1,149,70,58,13,11194768,216,-14,433,37,777,2239323,8478366,,,
Joel Eriksson Ek,29,C,MIN,"$5,250,000",14.67,2.99,1.89,74,74,14.67,2.99,1.89,19.55,25,26,51,10,8,18,1,0,1,133,55,36,586,19783520,207,6,98,126,610,3957226,8478493,,,
Casey Mittelstadt,27,C,BOS,"$5,750,000",14.74,2.27,0.05,81,81,14.74,2.27,0.05,17.06,16,35,51,4,10,14,0,0,0,30,31,20,434,608339,111,-9,-499,472,13,122017,8479999,,,
Mikael Granlund,33,"C,LW,RW",ANA,"$7,000,000",14.79,2.00,1.59,81,81,14.79,2.00,1.59,18.39,16,35,51,2,12,14,1,0,1,60,61,25,312,18229278,135,9,-111,234,221,3646222,8475798,,,
Jonathan Drouin,30,"LW,RW",NYI,"$4,000,000",14.69,2.98,0.02,72,72,14.69,2.98,0.02,17.68,14,37,51,4,13,17,0,0,0,29,26,18,38,173197,96,2,-345,372,-12,34882,8477494,,,
Noah Dobson,26,D,MTL,"$9,500,000",19.72,2.00,0.74,80,80,19.72,2.00,0.74,22.46,11,40,51,2,13,15,0,1,1,62,141,28,0,8377236,186,2,300,68,547,1675805,8480865,,,
Jiri Kulich,21,C,BUF,"$886,667",13.83,2.45,0.04,78,78,13.83,2.45,0.04,16.32,28,22,50,6,5,11,0,0,0,53,47,17,319,441518,191,-2,-299,343,213,88719,8483468,,,
Jake DeBrusk,29,"LW,RW",VAN,"$5,500,000",13.74,2.34,0.48,80,80,13.74,2.34,0.48,16.56,26,24,50,9,7,16,0,0,0,96,45,16,9,5447471,172,-1,-37,182,296,1089830,8478498,,,
Morgan Geekie,27,"C,LW,RW",BOS,"$5,500,000",14.49,1.82,0.09,78,78,14.49,1.82,0.09,16.39,24,26,50,4,7,11,0,0,0,111,41,25,213,938059,139,6,-88,217,244,187962,8479987,,,
Sam Bennett,29,C,FLA,"$8,000,000",14.78,2.23,0.24,73,73,14.78,2.23,0.24,17.25,24,26,50,6,7,13,0,0,0,148,44,64,417,2486412,200,7,193,91,705,497733,8477935,,,
Mason Marchment,30,LW,SEA,"$4,500,000",13.34,1.82,0.01,77,77,13.34,1.82,0.01,15.17,23,27,50,6,6,12,0,0,0,98,32,53,13,132005,150,5,64,134,408,26690,8478975,,,
Elias Lindholm,31,C,BOS,"$7,750,000",13.29,2.76,1.86,82,82,13.29,2.76,1.86,17.91,20,30,50,6,11,17,1,1,2,105,69,16,647,21559432,151,-5,-180,263,332,4312368,8477496,,,
Brandon Montour,31,D,SEA,"$7,142,857",20.20,2.62,0.33,80,80,20.20,2.62,0.33,23.15,15,35,50,3,16,19,0,0,0,84,95,54,0,3682768,214,-13,487,28,734,736910,8477986,,,
Moritz Seider,24,D,DET,"$8,550,000",19.89,2.80,2.07,82,82,19.89,2.80,2.07,24.76,9,41,50,3,19,22,0,1,1,197,185,42,0,23966924,154,-9,756,9,1003,4793757,8481542,,,
Morgan Rielly,31,D,TOR,"$7,500,000",19.56,2.50,0.33,80,80,19.56,2.50,0.33,22.38,8,42,50,2,16,18,0,0,0,37,128,21,0,3712833,142,-5,115,122,362,742872,8476853,,,
Chris Kreider,34,LW,ANA,"$6,500,000",13.50,2.78,1.62,76,76,13.50,2.78,1.62,17.90,28,21,49,9,6,15,2,1,3,101,29,24,31,17386007,178,-5,-34,181,311,3477537,8475184,,,
Evander Kane,34,LW,VAN,"$5,125,000",15.41,2.15,0.38,76,76,15.41,2.15,0.38,17.95,26,23,49,3,7,10,0,1,1,247,32,61,32,4112673,217,-1,477,29,821,822918,8475169,,,
Dmitri Voronkov,25,LW,CBJ,"$4,175,000",14.38,2.10,0.03,77,77,14.38,2.10,0.03,16.52,25,24,49,8,4,12,0,0,0,82,54,48,109,347692,161,-1,79,131,424,69866,8481716,,,
Kyle Palmieri,34,RW,NYI,"$4,750,000",14.70,2.25,0.88,82,82,14.70,2.25,0.88,17.84,25,24,49,5,6,11,0,1,1,69,46,25,11,10191986,171,-11,-96,220,237,2038708,8475151,,,
Josh Norris,26,C,BUF,"$7,950,000",13.36,3.02,1.79,76,76,13.36,3.02,1.79,18.16,24,25,49,8,10,18,1,2,3,165,57,35,475,19235680,139,-6,10,151,522,3847568,8480064,,,
Dylan Holloway,24,"C,LW",STL,"$2,290,457",14.32,2.50,0.19,77,77,14.32,2.50,0.19,17.01,22,27,49,7,8,15,0,0,0,176,43,32,65,2084625,163,6,143,115,487,417274,8482077,,,
Matthew Tkachuk,28,"LW,RW",FLA,"$9,500,000",14.89,3.27,0.12,45,45,14.89,3.27,0.12,18.28,19,30,49,7,10,17,0,0,0,69,14,38,1,789715,136,10,-105,231,227,158212,8479314,,,
Thomas Harley,24,D,DAL,"$4,000,000",19.43,2.20,1.35,78,78,19.43,2.20,1.35,22.98,14,35,49,2,13,15,0,1,1,41,120,18,0,14901134,165,14,96,127,344,2980562,8481581,,,
Shane Wright,22,C,SEA,"$886,666",12.51,2.06,0.02,79,79,12.51,2.06,0.02,14.60,23,25,48,8,7,15,0,0,0,55,63,18,359,223849,109,-4,-379,399,133,45123,8483524,,,
Arseny Gritsyuk,24,RW,NJ,"$925,000",13.75,1.75,0.00,76,76,13.75,1.75,0.00,15.50,23,25,48,5,5,10,0,0,0,126,38,16,15,16,226,2,0,159,333,381,8481721,,,
Anthony Cirelli,28,C,TB,"$6,250,000",15.13,1.34,2.04,75,75,15.13,1.34,2.04,18.51,22,26,48,3,4,7,2,1,3,34,68,27,490,21646974,138,12,-390,404,122,4329797,8478519,,,
Logan Stankoven,22,"C,RW",CAR,"$814,167",13.74,1.82,0.01,77,77,13.74,1.82,0.01,15.58,21,27,48,5,7,12,0,0,0,55,36,13,77,108949,180,5,-216,282,117,22127,8482702,,,
Leo Carlsson,21,C,ANA,"$950,000",14.17,2.54,0.41,75,75,14.17,2.54,0.41,17.12,20,28,48,6,8,14,0,1,1,29,37,17,283,4312596,129,-8,-484,464,28,862849,8484153,,,
Brayden Schenn,34,C,STL,"$6,500,000",14.94,1.77,0.57,82,82,14.94,1.77,0.57,17.29,19,29,48,3,6,9,0,0,0,177,51,49,519,6654888,134,-4,-33,180,479,1331392,8475170,,,
Jamie Benn,36,"C,LW",DAL,"$1,000,000",12.01,2.16,0.72,68,68,12.01,2.16,0.72,14.89,16,29,45,4,10,14,0,1,1,90,38,32,258,6910680,112,1,-176,260,168,1382447,8473994,,,
Jakob Chychrun,27,D,WSH,"$9,000,000",18.85,2.29,0.20,76,76,18.85,2.29,0.20,21.34,16,32,48,6,10,16,0,0,0,58,107,46,0,2151909,188,1,325,59,572,430718,8479345,,,
Teuvo Teravainen,31,"LW,RW",CHI,"$5,400,000",13.08,2.25,1.35,81,81,13.08,2.25,1.35,16.68,15,33,48,5,12,17,1,1,2,24,29,13,52,15483571,119,-6,-357,384,-25,3096975,8476882,,,
Jake Sanderson,23,D,OTT,"$8,050,000",18.31,3.33,2.64,77,77,18.31,3.33,2.64,24.28,10,38,48,4,20,24,0,1,1,37,148,15,0,28785429,168,-2,238,82,485,5757432,8482105,,,
Cutter Gauthier,22,LW,ANA,"$950,000",12.88,1.68,0.12,81,81,12.88,1.68,0.12,14.69,25,22,47,4,5,9,0,0,0,68,51,19,21,1374351,202,-5,-118,237,226,275213,8483445,,,
Marco Kasper,21,"C,LW",DET,"$886,667",14.24,1.26,0.57,78,78,14.24,1.26,0.57,16.07,24,23,47,4,4,8,1,0,1,160,49,30,276,6286580,150,-1,0,159,344,1257692,8483464,,,
Jackson Blake,22,RW,CAR,"$905,833",12.17,2.20,0.01,80,80,12.17,2.20,0.01,14.39,24,23,47,7,6,13,0,0,0,20,31,27,14,113119,148,8,-246,309,87,22902,8482809,,,
Warren Foegele,29,"LW,RW",LA,"$3,500,000",13.47,0.79,1.29,82,82,13.47,0.79,1.29,15.56,24,23,47,2,2,4,1,0,1,85,38,29,18,14986240,186,14,-138,244,195,2997572,8477998,,,
Boone Jenner,32,"C,LW",CBJ,"$3,750,000",14.67,1.84,1.47,76,76,14.67,1.84,1.47,17.97,24,23,47,6,3,9,1,0,1,129,68,28,368,15761558,184,-2,57,135,401,3152743,8476432,,,
Jack Quinn,24,RW,BUF,"$3,375,000",12.76,2.23,0.34,76,76,12.76,2.23,0.34,15.32,20,27,47,4,8,12,0,0,0,51,28,19,3,3654098,140,-5,-289,333,44,731087,8482097,,,
Ville Koivunen,22,RW,PIT,"$805,833",14.00,2.50,0.00,76,76,14.00,2.50,0.00,16.50,19,28,47,6,8,14,0,0,0,30,42,30,0,0,158,-2,-164,254,169,281,8482758,,,
William Karlsson,33,C,VGK,"$5,900,000",13.82,1.50,1.48,78,78,13.82,1.50,1.48,16.80,19,28,47,2,6,8,1,1,2,35,53,12,533,16332889,159,10,-491,467,20,3267006,8476448,,,
Jordan Eberle,35,RW,SEA,"$4,750,000",13.75,2.25,0.01,81,81,13.75,2.25,0.01,16.02,17,30,47,3,8,11,0,0,0,30,37,22,18,163169,134,2,-314,348,19,32896,8474586,,,
Cam Fowler,34,D,STL,"$6,500,000",18.83,2.46,1.59,78,78,18.83,2.46,1.59,22.88,8,39,47,3,15,18,0,0,0,15,102,17,0,17517906,99,-3,-121,238,126,3503829,8475764,,,
Anders Lee,35,LW,NYI,"$7,000,000",14.23,2.21,0.01,81,81,14.23,2.21,0.01,16.45,28,18,46,7,3,10,0,0,0,126,47,39,14,114433,199,3,110,125,454,23234,8475314,,,
Dawson Mercer,24,"C,RW",NJ,"$4,000,000",14.60,1.65,1.82,82,82,14.60,1.65,1.82,18.06,24,22,46,5,5,10,1,1,2,39,57,17,99,21074636,146,-1,-256,315,77,4215236,8482110,,,
Owen Tippett,26,"LW,RW",PHI,"$6,200,000",14.22,2.03,0.07,78,78,14.22,2.03,0.07,16.31,24,22,46,3,5,8,0,0,0,123,60,13,10,774116,206,3,-40,185,292,155187,8480015,,,
Patrik Laine,27,"LW,RW",MTL,"$8,700,000",11.91,2.86,0.00,72,72,11.91,2.86,0.00,14.77,23,23,46,11,8,19,0,0,0,35,40,19,34,30367,159,-10,-166,255,166,6373,8479339,,,
Blake Coleman,34,"C,LW,RW",CGY,"$4,900,000",13.99,1.34,1.78,82,82,13.99,1.34,1.78,17.11,22,24,46,4,3,7,2,1,3,154,60,41,29,20575511,185,4,140,116,472,4115443,8476399,,,
Connor Zary,24,"C,LW,RW",CGY,"$3,775,000",14.08,2.22,0.00,75,75,14.08,2.22,0.00,16.29,21,25,46,3,9,12,0,0,0,37,37,22,111,177,139,-2,-277,329,55,328,8482074,,,
Matt Coronato,23,RW,CGY,"$6,500,000",14.85,2.41,0.01,74,74,14.85,2.41,0.01,17.28,21,25,46,6,9,15,0,0,0,32,32,20,54,132839,168,-7,-223,292,109,26871,8482679,,,
Ivan Barbashev,30,LW,VGK,"$5,000,000",15.42,1.06,0.07,77,77,15.42,1.06,0.07,16.55,20,26,46,2,2,4,0,0,0,132,41,22,20,794270,114,10,-255,314,89,159122,8477964,,,
Oliver Bjorkstrand,30,RW,TB,"$5,400,000",12.84,2.21,0.00,78,78,12.84,2.21,0.00,15.04,18,28,46,5,9,14,0,0,0,69,28,14,5,12,148,-5,-265,322,68,283,8477416,,,
Chandler Stephenson,31,C,SEA,"$6,250,000",14.73,2.00,1.80,75,75,14.73,2.00,1.80,18.53,12,34,46,2,9,11,1,1,2,39,47,17,568,19083589,75,-13,-613,543,-101,3817058,8476905,,,
Seth Jones,31,D,FLA,"$9,500,000",19.65,2.95,2.41,76,76,19.65,2.95,2.41,25.01,11,35,46,4,16,20,0,0,0,102,136,28,0,25838001,163,-3,334,57,582,5167938,8477495,,,
MacKenzie Weegar,32,D,CGY,"$6,250,000",19.41,2.66,1.88,78,78,19.41,2.66,1.88,23.95,10,36,46,3,15,18,0,1,1,191,165,37,0,20698380,176,-3,623,15,870,4140052,8477346,,,
Devon Toews,31,D,COL,"$7,250,000",20.92,1.15,2.45,76,76,20.92,1.15,2.45,24.52,9,37,46,1,5,6,0,1,1,46,110,20,0,26292591,140,21,-100,224,147,5258809,8478038,,,
Filip Hronek,28,D,VAN,"$7,250,000",19.84,1.76,2.13,80,80,19.84,1.76,2.13,23.73,8,38,46,3,10,13,0,0,0,107,96,42,0,24080491,130,7,176,102,423,4816379,8479425,,,
Mackie Samoskevich,23,RW,FLA,"$775,000",13.50,1.76,0.02,72,72,13.50,1.76,0.02,15.28,23,22,45,7,6,13,0,0,0,151,37,14,0,203586,156,2,-88,216,245,41033,8482713,,,
Jake Neighbours,23,"LW,RW",STL,"$3,750,000",13.84,2.07,0.21,82,82,13.84,2.07,0.21,16.12,23,22,45,6,7,13,0,0,0,164,54,37,8,2401689,128,-9,78,132,411,480624,8482089,,,
Ryan Donato,29,"C,LW,RW",CHI,"$4,000,000",13.76,1.78,0.11,79,79,13.76,1.78,0.11,15.65,22,23,45,3,6,9,0,0,0,102,22,41,184,1243179,162,-12,-78,212,254,248958,8477987,,,
Trevor Moore,30,"LW,RW",LA,"$4,200,000",13.73,1.33,1.69,75,75,13.73,1.33,1.69,16.74,22,23,45,3,3,6,2,0,2,75,39,16,4,17882420,173,8,-259,317,74,3576791,8479675,,,
Jason Zucker,34,LW,BUF,"$4,750,000",12.86,2.53,0.02,74,74,12.86,2.53,0.02,15.41,19,26,45,6,9,15,0,0,0,89,23,47,30,184757,150,-2,-30,178,314,37228,8475722,,,
Matias Maccelli,25,LW,TOR,"$3,425,000",12.80,1.54,0.05,78,78,12.80,1.54,0.05,14.39,16,29,45,3,8,11,0,0,0,14,18,13,7,508869,116,-6,-514,488,-170,102000,8481711,,,
Phillip Danault,32,C,LA,"$5,500,000",14.20,1.40,1.79,79,79,14.20,1.40,1.79,17.39,14,31,45,2,6,8,1,1,2,79,67,26,517,19981592,125,11,-379,398,133,3996713,8476479,,,
Drew Doughty,36,D,LA,"$11,000,000",20.12,2.65,1.68,76,76,20.12,2.65,1.68,24.45,10,35,45,3,16,19,0,1,1,71,114,39,0,18028648,107,11,168,105,415,3605998,8474563,,,
Tyson Foerster,24,"LW,RW",PHI,"$3,750,000",14.40,2.10,0.69,80,80,14.40,2.10,0.69,17.18,24,20,44,6,4,10,0,0,0,83,55,38,0,7749415,149,2,-58,194,275,1550166,8482159,,,
Jaden Schwartz,33,"C,LW",SEA,"$5,500,000",15.05,2.23,0.04,80,80,15.05,2.23,0.04,17.32,22,22,44,7,4,11,0,0,0,49,39,24,50,418185,167,-11,-224,293,121,83934,8475768,,,
Maxim Shabanov,25,RW,NYI,"$975,000",13.75,1.75,0.00,76,76,13.75,1.75,0.00,15.50,20,24,44,4,6,10,0,0,0,30,16,12,0,0,163,-2,-409,414,-76,274,8485702,,,
Anthony Mantha,31,RW,PIT,"$2,500,000",13.75,1.85,0.01,78,78,13.75,1.85,0.01,15.61,20,24,44,4,5,9,0,0,0,84,43,32,17,110241,124,5,-196,271,137,22308,8477511,,,
Ryan Leonard,21,RW,WSH,"$950,000",13.50,1.96,0.00,76,76,13.50,1.96,0.00,15.46,19,25,44,5,7,12,0,0,0,148,33,55,0,0,185,2,184,96,516,312,8484186,,,
Jimmy Snuggerud,21,RW,STL,"$950,000",13.25,2.50,0.00,76,76,13.25,2.50,0.00,15.75,19,25,44,6,8,14,0,0,0,56,40,28,0,0,168,-2,-142,246,191,290,8483516,,,
Morgan Frost,26,C,CGY,"$4,375,000",13.41,2.51,0.03,80,80,13.41,2.51,0.03,15.94,17,27,44,3,9,12,0,0,0,69,60,21,486,344315,138,-1,-375,393,137,69258,8480028,,,
Michael Misa,19,C,SJ,"$925,000",13.50,1.96,0.00,76,76,13.50,1.96,0.00,15.46,21,22,43,5,7,12,0,0,0,42,46,26,217,256,135,-10,-429,427,83,360,8483493,,,
Barrett Hayton,25,C,UTA,"$2,650,000",13.55,2.08,0.92,81,81,13.55,2.08,0.92,16.55,21,22,43,6,5,11,0,1,1,41,43,39,505,10500514,155,-1,-330,363,182,2100497,8480849,,,
Tyler Bertuzzi,30,"LW,RW",CHI,"$5,500,000",13.46,2.28,0.00,80,80,13.46,2.28,0.00,15.74,21,22,43,8,6,14,0,0,0,68,34,38,17,33706,137,-15,-131,243,202,6997,8477479,,,
Fedor Svechkov,22,C,NSH,"$925,000",13.25,1.85,0.64,77,77,13.25,1.85,0.64,15.74,20,23,43,6,7,13,0,0,0,58,43,19,205,6967521,133,-7,-449,440,63,1393816,8482768,,,
Yegor Sharangovich,27,"C,LW,RW",CGY,"$5,750,000",13.68,2.15,0.95,76,76,13.68,2.15,0.95,16.78,20,23,43,5,7,12,1,1,2,17,38,11,126,10247852,141,-11,-404,412,-72,2049858,8481068,,,
Alex Killorn,36,"C,LW,RW",ANA,"$6,250,000",13.24,1.90,1.75,80,80,13.24,1.90,1.75,16.89,20,23,43,2,4,6,1,0,1,74,29,36,7,19749337,129,-1,-259,318,73,3950111,8473986,,,
Aliaksei Protas,25,"LW,RW",WSH,"$3,375,000",14.42,0.35,1.30,76,76,14.42,0.35,1.30,16.07,19,24,43,1,1,2,1,1,2,30,39,15,13,13943371,133,5,-490,466,-157,2788923,8481656,,,
Andrei Kuzmenko,29,"LW,RW",LA,"$4,300,000",12.72,2.68,0.00,70,70,12.72,2.68,0.00,15.40,18,25,43,6,8,14,0,0,0,19,21,11,1,8413,96,1,-510,484,-177,1898,8483808,,,
Vladimir Tarasenko,34,"LW,RW",MIN,"$4,750,000",13.10,1.54,0.03,80,80,13.10,1.54,0.03,14.68,16,27,43,2,7,9,0,0,0,68,38,9,1,360618,130,-5,-395,407,-62,72379,8475765,,,
Gustav Nyquist,36,"LW,RW",WPG,"$3,250,000",13.72,1.71,1.17,78,78,13.72,1.71,1.17,16.60,15,28,43,2,6,8,1,1,2,45,37,15,12,12856437,116,-5,-439,433,-107,2571522,8474679,,,
Thomas Chabot,29,D,OTT,"$8,000,000",19.33,2.05,1.42,78,78,19.33,2.05,1.42,22.80,11,32,43,2,10,12,0,0,0,57,136,32,0,15682820,166,8,167,106,414,3136881,8478469,,,
Shane Pinto,25,C,OTT,"$3,750,000",14.66,1.39,1.50,75,75,14.66,1.39,1.50,17.56,22,20,42,3,3,6,1,1,2,75,60,23,434,15925530,143,7,-416,417,96,3185492,8481596,,,
Alex Laferriere,24,RW,LA,"$4,100,000",14.73,1.56,0.08,76,76,14.73,1.56,0.08,16.36,21,21,42,4,4,8,0,0,0,121,39,31,28,830670,179,6,-72,208,260,166450,8482155,,,
Viktor Arvidsson,32,"LW,RW",BOS,"$4,000,000",13.52,1.35,0.18,78,78,13.52,1.35,0.18,15.04,19,23,42,3,6,9,0,0,0,36,42,29,19,1950726,179,4,-221,289,112,390438,8478042,,,
Anton Lundell,24,C,FLA,"$5,000,000",13.58,1.39,1.83,78,78,13.58,1.39,1.83,16.79,18,24,42,2,5,7,2,0,2,91,49,31,451,20200668,159,8,-335,367,177,4040531,8482113,,,
Gabe Perreault,20,RW,NYR,"$941,667",13.50,1.96,0.00,75,75,13.50,1.96,0.00,15.46,17,25,42,5,7,12,0,0,0,28,23,22,25,30,144,3,-364,389,-32,264,8484210,,,
Ryan McLeod,26,C,BUF,"$5,000,000",13.79,0.65,1.99,78,78,13.79,0.65,1.99,16.42,17,25,42,1,2,3,1,2,3,33,38,17,453,21935628,104,1,-708,605,-196,4387453,8480802,,,
Alex Newhook,25,C,MTL,"$2,900,000",13.62,1.86,0.04,82,82,13.62,1.86,0.04,15.53,20,21,41,3,4,7,0,0,0,80,37,22,249,495977,122,-10,-514,489,-2,99497,8481618,,,
Ross Colton,29,"C,LW",COL,"$4,000,000",12.44,1.56,0.09,78,78,12.44,1.56,0.09,14.09,20,21,41,5,4,9,0,0,0,175,48,33,117,978328,149,1,-6,163,338,195989,8479525,,,
Fabian Zetterlund,26,"LW,RW",OTT,"$4,275,000",14.49,1.97,0.16,82,82,14.49,1.97,0.16,16.62,20,21,41,5,6,11,0,0,0,133,68,20,27,1898859,173,-9,-32,179,301,380096,8480188,,,
Yegor Chinakhov,24,"LW,RW",CBJ,"$2,100,000",13.72,2.04,0.16,70,70,13.72,2.04,0.16,15.92,19,22,41,4,5,9,0,0,0,97,32,13,0,1628525,147,-4,-310,346,23,325978,8482475,,,
Simon Holmstrom,24,RW,NYI,"$3,625,000",13.50,1.71,1.25,78,78,13.50,1.71,1.25,16.45,19,22,41,3,6,9,1,2,3,27,56,11,2,13782880,102,-6,-465,455,-132,2756802,8481601,,,
Michael Bunting,30,LW,NSH,"$4,500,000",13.35,2.06,0.00,76,76,13.35,2.06,0.00,15.41,19,22,41,8,7,15,0,0,0,67,20,50,5,22882,147,-7,-95,219,249,4826,8478047,,,
Jack Roslovic,29,"C,RW",CAR,"$3,000,000",12.44,1.36,0.30,79,79,12.44,1.36,0.30,14.10,17,24,41,2,5,7,0,0,0,22,30,12,178,3369773,129,0,-516,490,-184,674234,8478458,,,
Mikael Backlund,36,C,CGY,"$4,500,000",14.38,1.69,2.25,79,79,14.38,1.69,2.25,18.33,17,24,41,2,4,6,2,0,2,53,45,25,583,25160809,185,1,-427,425,85,5032600,8474150,,,
Ryan Strome,32,C,ANA,"$5,000,000",13.84,2.32,0.14,80,80,13.84,2.32,0.14,16.30,13,28,41,3,7,10,0,0,0,50,30,57,412,1606806,124,-11,-340,370,172,321673,8476458,,,
Alexander Nikishin,24,D,CAR,"$925,000",18.50,2.00,1.75,78,78,18.50,2.00,1.75,22.25,10,31,41,2,11,13,0,1,1,180,158,38,0,19296778,163,6,468,30,715,3859702,8482100,,,
Stefan Noesen,32,"LW,RW",NJ,"$2,750,000",12.36,2.04,0.36,72,72,12.36,2.04,0.36,14.75,19,21,40,8,6,14,0,0,0,125,25,30,37,3630957,132,4,-145,248,188,726464,8476474,,,
Danila Yurov,22,C,MIN,"$950,000",13.00,1.96,0.00,76,76,13.00,1.96,0.00,14.96,17,23,40,5,7,12,0,0,0,107,39,27,235,265,150,4,-335,366,177,389,8483525,,,
Taylor Hall,34,LW,CAR,"$3,166,667",13.21,1.83,0.02,76,76,13.21,1.83,0.02,15.06,17,23,40,4,5,9,0,0,0,43,42,29,36,195438,140,-4,-313,347,31,39342,8475791,,,
Tommy Novak,28,C,PIT,"$3,500,000",11.92,1.44,0.01,72,72,11.92,1.44,0.01,13.37,17,23,40,3,5,8,0,0,0,9,34,9,147,123604,108,1,-762,639,-250,24973,8478438,,,
Bobby Brink,24,RW,PHI,"$1,500,000",12.95,2.07,0.02,77,77,12.95,2.07,0.02,15.03,16,24,40,4,4,8,0,0,0,84,33,17,14,188445,108,3,-404,411,-71,37923,8481553,,,
Jesperi Kotkaniemi,25,C,CAR,"$4,820,000",12.78,1.41,0.08,80,80,12.78,1.41,0.08,14.28,16,24,40,2,4,6,0,0,0,72,31,38,361,924294,119,7,-478,463,34,185174,8480829,,,
Charlie Coyle,33,"C,RW",CBJ,"$5,250,000",13.03,0.75,2.08,82,82,13.03,0.75,2.08,15.86,16,24,40,1,2,3,1,1,2,100,60,25,347,24038906,107,-1,-314,349,18,4808100,8475745,,,
Reilly Smith,34,RW,VGK,"$2,000,000",12.72,1.01,1.43,80,80,12.72,1.01,1.43,15.16,15,25,40,2,3,5,1,1,2,51,38,18,4,16122890,124,6,-452,442,-119,3224814,8475191,,,
Rasmus Andersson,29,D,CGY,"$4,550,000",19.45,2.07,2.38,80,80,19.45,2.07,2.38,23.91,11,29,40,2,10,12,0,1,1,35,174,41,0,26930283,157,-20,247,81,494,5386351,8478397,,,
Brady Skjei,31,D,NSH,"$7,000,000",18.05,1.37,2.32,81,81,18.05,1.37,2.32,21.74,11,29,40,2,8,10,0,1,1,53,88,36,0,26526331,156,-6,-7,164,240,5305537,8476869,,,
Mattias Ekholm,35,D,EDM,"$6,250,000",19.04,0.96,2.06,74,74,19.04,0.96,2.06,22.06,10,30,40,1,4,5,0,1,1,59,100,32,0,21519122,153,21,-59,195,188,4304107,8475218,,,
Hampus Lindholm,32,D,BOS,"$6,500,000",18.50,2.05,3.00,80,80,18.50,2.05,3.00,23.55,9,31,40,2,11,13,0,1,1,37,109,41,0,33865542,140,5,53,136,300,6773374,8476854,,,
Noah Hanifin,29,D,VGK,"$7,350,000",19.34,1.38,1.32,80,80,19.34,1.38,1.32,22.04,9,31,40,2,8,10,0,1,1,46,112,19,0,14880202,142,10,-97,222,150,2976321,8478396,,,
